language,domain,tokenizer,flores_premium,domain_premium,domain_ci_lower,domain_ci_upper,n_sentences,rel_diff,flag
dzo_Tibt,opus100,deepseek-v3,6.979199779803145,6.190625615312922,5.950558892180581,6.5005030738268035,624,0.11298919494642484,ok
dzo_Tibt,opus100,gemma-2,4.191372165598432,4.426123160771334,4.2515341701553355,4.687539755961222,624,0.056008148620079495,ok
dzo_Tibt,opus100,gpt-2,16.545724710587262,13.950375490265182,13.418052582719588,14.618081853732829,624,0.156859204762507,ok
dzo_Tibt,opus100,gpt-4,12.45929748661326,11.416608040444116,10.943867080950712,12.074644857173956,624,0.08368765954015053,ok
dzo_Tibt,opus100,gpt-4o,9.222634404808286,8.929236866336474,8.554799093091408,9.41289538677187,624,0.03181276906290971,ok
dzo_Tibt,opus100,llama-3,12.464036845145666,11.429428553264628,10.957057738436625,12.081318767867256,624,0.0830074802196997,ok
dzo_Tibt,opus100,mistral,8.034528121462047,7.983851229260708,7.677587320549006,8.332743510188791,624,0.006307388739603782,ok
dzo_Tibt,opus100,qwen2.5,8.266988961955617,7.727628010770722,7.415520582149942,8.204031641476366,624,0.06524273271284312,ok
ory_Orya,opus100,deepseek-v3,5.629911708776437,5.999962043993394,5.8274982047130175,6.193599824150305,1318,0.06572933188989218,ok
ory_Orya,opus100,gemma-2,5.0781409270026705,5.433172285920067,5.263078410255559,5.61693425338141,1318,0.06991364832542188,ok
ory_Orya,opus100,gpt-2,13.452553162070783,12.848744370647701,12.467908186863204,13.30706338979639,1318,0.044884326725837434,ok
ory_Orya,opus100,gpt-4,12.594206220046544,13.618765088835245,13.170882099139686,14.120921913616423,1318,0.08135160333946906,ok
ory_Orya,opus100,gpt-4o,5.049517855164307,5.643719077267297,5.47244604948429,5.837587692960911,1318,0.11767484325167425,ok
ory_Orya,opus100,llama-3,12.350864514754802,13.443023736108554,12.998645765274507,13.936480758349166,1318,0.08842775500039028,ok
ory_Orya,opus100,mistral,12.2387474088022,12.62056102117312,12.23329428953322,13.073779179782871,1318,0.031197115163625163,ok
ory_Orya,opus100,qwen2.5,9.892988056898592,10.571301604618077,10.232095246775899,10.966976916140968,1318,0.06856508304854189,ok
ory_Orya,bible,deepseek-v3,5.629911708776437,4.6083679075042285,4.363751080446043,4.942512506684939,85,0.18144934665311538,ok
ory_Orya,bible,gemma-2,5.0781409270026705,4.153006552339535,3.918094012658041,4.454567031331827,85,0.18217973623847178,ok
ory_Orya,bible,gpt-2,13.452553162070783,10.407533544270875,9.792784123739583,11.238928168290814,85,0.22635254297937166,ok
ory_Orya,bible,gpt-4,12.594206220046544,9.9935657398167,9.41741636337987,10.77048444431656,85,0.20649498942540204,ok
ory_Orya,bible,gpt-4o,5.049517855164307,4.031353127468177,3.810800358937187,4.312914008973424,85,0.20163602880517,ok
ory_Orya,bible,llama-3,12.350864514754802,9.82188006233416,9.243202849608721,10.607948549186325,85,0.20476173545579937,ok
ory_Orya,bible,mistral,12.2387474088022,10.044771999460336,9.454484850999746,10.817534947115636,85,0.179264702183815,ok
ory_Orya,bible,qwen2.5,9.892988056898592,8.013213975012881,7.552589151918702,8.636106700574214,85,0.19001075014690869,ok
mya_Mymr,opus100,deepseek-v3,5.378598606972918,5.184009310720653,5.072605009638522,5.298857693389945,2000,0.03617843800427788,ok
mya_Mymr,opus100,gemma-2,4.910356177330155,4.895124138699469,4.789123741564292,5.0152536293195915,2000,0.0031020231691152515,ok
mya_Mymr,opus100,gpt-2,17.104329250504772,15.44621306714067,15.09906441090208,15.808995548176167,2000,0.09694131579671088,ok
mya_Mymr,opus100,gpt-4,11.817972965315924,11.627216246615905,11.368494222479976,11.900110893012862,2000,0.01614123837140793,ok
mya_Mymr,opus100,gpt-4o,3.210522755922246,3.3670375423136343,3.291758062693006,3.4462170701509596,2000,0.048750561291825666,ok
mya_Mymr,opus100,llama-3,11.821657328789206,11.627448247270781,11.368746344770285,11.9008826595902,2000,0.016428244882844695,ok
